"N" "Gill,Gill" "Gill,GIT" "Gill,Lung" "Gill,Mouth" "Gill,Skin" "Gill,Swimbladder" "GIT,Gill" "GIT,GIT" "GIT,Lung" "GIT,Mouth" "GIT,Skin" "GIT,Swimbladder" "Lung,Gill" "Lung,GIT" "Lung,Lung" "Lung,Mouth" "Lung,Skin" "Lung,Swimbladder" "Mouth,Gill" "Mouth,GIT" "Mouth,Lung" "Mouth,Mouth" "Mouth,Skin" "Mouth,Swimbladder" "Skin,Gill" "Skin,GIT" "Skin,Lung" "Skin,Mouth" "Skin,Skin" "Skin,Swimbladder" "Swimbladder,Gill" "Swimbladder,GIT" "Swimbladder,Lung" "Swimbladder,Mouth" "Swimbladder,Skin" "Swimbladder,Swimbladder" "gains" "losses"
"57" 83 0 16 3 27 20 10 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 76 6
"58" 80 0 16 2 25 20 11 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 74 5
"59" 83 0 16 3 25 20 11 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 75 8
"60" 81 0 15 2 26 20 14 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 77 3
"61" 80 0 16 2 25 20 12 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 75 4
"62" 81 0 16 2 24 20 12 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 74 6
"63" 81 0 16 3 25 20 11 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 75 6
"64" 82 0 16 2 25 21 11 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 75 6
"65" 83 0 16 0 25 21 11 1 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 73 8
"66" 80 0 16 0 25 20 11 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 72 7
"67" 84 0 17 3 25 20 13 0 0 1 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 5
"68" 84 0 16 0 25 20 12 0 0 0 0 0 0 2 0 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 73 9
"69" 80 0 16 0 25 20 12 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 73 6
"70" 80 0 16 2 25 20 11 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 74 6
"71" 81 0 16 0 24 20 13 0 0 0 0 0 0 1 0 0 1 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 7
"72" 80 0 16 2 26 20 11 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 75 5
"73" 80 0 16 2 25 20 12 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 75 4
"74" 81 0 16 1 27 20 11 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 75 5
"75" 80 0 16 2 24 20 11 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 73 7
"76" 82 0 17 2 23 20 11 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 73 8
