"mode" "time"
"312" "WA" 23.0552275047
"412" "WA" 2.56600567620001
"512" "WA" 3.65711230070002
"612" "WA" 17.5459055051999
"712" "WA" 0.500241549054582
"812" "WA" 0.399041760103974
"92" "WA" 22.1067930032001
"102" "WA" 2.59283797800003
"112" "WA" 4.53833100470001
"122" "WA" 1.24673217318013
"132" "WA" 18.5468931490299
"142" "WA" 0.692916275000073
"152" "WA" 86.0786975047
"162" "WA" 23.546410075407
"172" "WA" 2.58522979892425
"182" "WA" 3.95768429767875
"192" "WA" 2.96293107739984
"202" "WA" 9.18272318788369
"213" "WA" 11.4720550046999
"222" "WA" 1.10667482919979
"232" "WA" 2.53844290061916
"242" "WA" 0.958321418693857
"252" "WA" 5.75928600374988
"262" "WA" 11.1263715046999
"272" "WA" 8.78109000469982
