"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"124" 89 0 3 86 0
"134" 88 0 3 85 0
"144" 93 0 6 87 0
"154" 88 0 2 86 0
"164" 89 0 3 86 0
"174" 91 0 5 86 0
"184" 90 0 5 85 0
"194" 87 0 1 86 0
"204" 89 0 4 85 0
"217" 88 0 3 85 0
"224" 92 0 3 89 0
"234" 92 0 5 87 0
"244" 90 0 4 86 0
"254" 87 0 2 85 0
"264" 87 0 2 85 0
"274" 90 0 4 86 0
"284" 90 0 5 85 0
"294" 89 0 5 84 0
"304" 87 0 1 86 0
"317" 87 0 2 85 0
"324" 87 0 1 86 0
"334" 89 0 3 86 0
"344" 89 0 3 86 0
"354" 92 0 4 88 0
"364" 87 0 3 84 0
"374" 89 0 3 86 0
"384" 96 0 5 91 0
"394" 94 0 7 87 0
"404" 98 0 7 91 0
"417" 93 0 7 86 0
"424" 89 0 2 87 0
"434" 92 0 6 86 0
"444" 87 0 1 86 0
"454" 92 0 7 85 0
"464" 91 0 6 85 0
"474" 88 0 2 86 0
"484" 92 0 6 86 0
"494" 92 0 6 86 0
"504" 98 0 7 91 0
"517" 89 0 5 84 0
"524" 90 0 4 86 0
"534" 88 0 5 83 0
"544" 87 0 2 85 0
"554" 88 0 4 84 0
"564" 95 0 7 88 0
"574" 87 0 2 85 0
"584" 92 0 5 87 0
"594" 90 0 5 85 0
"604" 89 0 5 84 0
"617" 93 0 6 87 0
"624" 93 0 4 89 0
"634" 91 0 5 86 0
"644" 91 0 6 85 0
"654" 91 0 7 84 0
"664" 89 0 2 87 0
"674" 87 0 2 85 0
"684" 92 0 6 86 0
"694" 88 0 0 88 0
"704" 92 0 5 87 0
"717" 92 0 4 88 0
"724" 95 0 7 88 0
"734" 92 0 4 88 0
"744" 87 0 1 86 0
"754" 91 0 5 86 0
"764" 87 0 1 86 0
"774" 90 0 5 85 0
"784" 89 0 5 84 0
"794" 94 0 6 88 0
"804" 94 0 7 87 0
"817" 93 0 6 87 0
"824" 89 0 6 83 0
"834" 88 0 3 85 0
"844" 96 0 7 89 0
"854" 92 0 6 86 0
"864" 94 0 6 88 0
"874" 98 0 9 89 0
"884" 88 0 4 84 0
